lambda,GDP,Hours_worked,Real_wage_growth,GDP_Deflator_Inflation,Core_PCE_Inflation,short_term_interest,Consumption_growth,Investment_growth,Spread,expected_inflation,long_term_interest,tfp,GDI,error
0.1,0.9409139515173324,0.8565346361334267,0.918304077390463,0.3543062924207001,0.23229096621849643,0.516239403105075,0.8782807841987714,1.3846333290754425,0.17178799946888043,0.03953778826726805,0.3873818848071615,1.0466466414807767,1.0808362678034935,0.7574953061947496
0.2,0.9361397937174994,0.821432528608702,0.9025842638798229,0.4064458658332951,0.23339829765156472,0.6028673337515673,0.857058988670687,1.3748921475472886,0.20527884537259763,0.04049131074186352,0.408642301604941,1.024607679421579,1.0627736419642602,0.7978482870193607
0.30000000000000004,0.9303745707398088,0.7991213959811934,0.8949319869021938,0.4479754168160269,0.2374063317630367,0.6515364634635771,0.8416760398322773,1.3738342044063396,0.22564357771280003,0.041376819422161516,0.4183907282038389,1.0104555445540195,1.0568595770854123,0.8239165198762909
0.4,0.9245690030512453,0.7815590162719743,0.8903794278905924,0.4836608031403378,0.24014014835969932,0.6849577392468968,0.8288255954500179,1.3774477595261287,0.2414401168101976,0.042219926080703005,0.4243390867549671,1.0003194513434792,1.051820974366632,0.8437443665909352
0.5,0.9192086176369196,0.7669730188089612,0.8868306740475213,0.5173263580017136,0.24234844149559268,0.7105725568026241,0.8176795863055145,1.3832241356398065,0.2541536960533318,0.04303644097439543,0.4284785153336567,0.992982490866547,1.0479200778769109,0.860401733255038
0.6,0.9141788914475979,0.7576014043418772,0.8839584476957849,0.5460807509832128,0.24690760444942123,0.7314270922418155,0.8078820188436983,1.3880224675429156,0.26453630930202215,0.04375539886791619,0.4316028936536755,0.9872575030275512,1.0449675326699595,0.8749300815204121
0.7000000000000001,0.909264071641658,0.7498931451670173,0.8815704341418666,0.5700040793718119,0.2519911676271443,0.7515154699210768,0.7991740544082104,1.3924864308578506,0.27315230667270834,0.04440118309807211,0.434083401011912,0.9831362857937476,1.04221828110316,0.8878119200805773
0.8,0.9046652348208474,0.7429394215853794,0.8811184260960037,0.5903545175083236,0.25622771521634746,0.7725907736094609,0.7913623757707912,1.3979607375586927,0.2803309939543258,0.04497984479054835,0.4361201979821016,0.9797061700095382,1.0408313195891203,0.8995546296536456
0.9,0.9003557008577785,0.736684281653169,0.8825327159312946,0.6079767303050239,0.259929531986338,0.7911071460214743,0.7842991711301219,1.4032637877862437,0.28642581707464987,0.045507405545656174,0.4378326710932682,0.9766347452546709,1.039808104795112,0.909831726503901
1.0,0.8967748995028867,0.7309299254943543,0.8842322516485117,0.623458239894234,0.26344037488727845,0.8075911040941829,0.7779504245876009,1.4089225203049054,0.2918747343468374,0.04601099052005523,0.4392975708010815,0.9747646696317653,1.0387602428895255,0.9191280834698469
2.0,0.887339984661186,0.6979767763478378,0.8955737717018212,0.7272120090988644,0.2978279098685071,0.9132512494061897,0.7423608485955953,1.4878726570493008,0.3242293197897145,0.049811605667922455,0.44721451611913476,0.9737420353714851,1.0336183469681008,0.9848984396582756
3.0,0.889514465032472,0.6860531872601798,0.9015959771238131,0.7859458964171463,0.31874795682450696,0.9761851212864677,0.7259774163622218,1.5998172494748764,0.339381435585267,0.052031998269066654,0.45032022415435496,0.9778743254670585,1.0446216210714527,1.025473288568738
4.0,0.8952050112201726,0.6852457705308984,0.9056739166743933,0.8269667028736913,0.33637616058421055,1.025356119324367,0.7274170626707233,1.6995337162955506,0.3495782844263931,0.05362971797164237,0.4533424496736938,0.9791252526511561,1.0561123188275119,1.057531993114518
5.0,0.9001179223098127,0.6911844016359857,0.9084584728247622,0.8591604445258931,0.3528934776488775,1.0677355801675394,0.730403148609741,1.7950575139468588,0.357437110236448,0.05485175393972089,0.45626741021544576,0.9793145198988871,1.0656330299529477,1.0849678465418762
6.0,0.9045356728616726,0.7033480439400952,0.9104822137499968,0.8860568957047901,0.3681843037332742,1.1105963688844294,0.7343775558992007,1.893498569883554,0.36385278828587925,0.0558401469725408,0.458340972549395,0.9790370748688023,1.0743184627176823,1.1103306938475854
7.0,0.9116555394170593,0.7182849401298838,0.9120556803252496,0.9094638514921564,0.38239972562757235,1.1550283922004514,0.7383647874171136,1.9884457046421071,0.3693573478924466,0.05662652810165698,0.45983511981011976,0.9793375978570086,1.0819936671186103,1.1343775260048758
8.0,0.9199706841574492,0.7363690264421631,0.9134435931616122,0.9309362804125524,0.3961425834649502,1.1972885846927181,0.7422616135599596,2.085022068936955,0.3743496841968952,0.05726802341152122,0.46091403049080654,0.9796657016695797,1.088985235085177,1.157254032045135
9.0,0.9296626683773249,0.7556553913698786,0.9146644592098322,0.9518060579001851,0.40911391659016033,1.237967943461272,0.7462247137983424,2.1842924949688434,0.3793428718561004,0.05780714203482707,0.46168420077540845,0.9798729790354215,1.0966220903627069,1.1795784970989276
10.0,0.9395882117293972,0.776713983221408,0.9156856149917221,0.9711827274096516,0.42219828159218487,1.2785914979166424,0.7500446278381566,2.2777424248875877,0.3838678870671338,0.05826953236006208,0.4622183348497341,0.9800011541390865,1.1050290189954706,1.2011804129141521
